step,loss
1,-0.08407444506883621
100,-0.10838128626346588
200,-0.09597218036651611
300,-0.07808296382427216
400,-0.16862963140010834
500,-0.09171830862760544
600,-0.1349366158246994
700,-0.1815524697303772
800,-0.1684284657239914
900,-0.1580810248851776
1000,-0.03613163158297539
1100,-0.18519535660743713
1200,-0.15151932835578918
1300,-0.11288782954216003
1400,-0.0868489146232605
1500,-0.1721467673778534
1600,-0.2094610333442688
1700,-0.1760992705821991
1800,-0.11543366312980652
1900,-0.17476727068424225
2000,-0.13021571934223175
2100,-0.13456135988235474
2200,-0.1702709048986435
2300,-0.19261400401592255
2400,-0.14136627316474915
2500,-0.13919952511787415
2600,-0.09521876275539398
2700,-0.17244786024093628
2800,-0.13528677821159363
2900,-0.1870751976966858
3000,-0.18942885100841522
3100,-0.08548462390899658
3200,-0.14968916773796082
3300,-0.1358467936515808
3400,-0.16591592133045197
3500,-0.13079428672790527
3600,-0.08826647698879242
3700,-0.0597495436668396
3800,-0.10165168344974518
3900,-0.12149570137262344
4000,-0.1490628570318222
4100,-0.1735302060842514
4200,-0.12025323510169983
4300,-0.19552814960479736
4400,-0.13672292232513428
4500,-0.0828663781285286
4600,-0.1640585958957672
4700,-0.13611027598381042
4800,-0.12316277623176575
4900,-0.2026190459728241
5000,-0.20289121568202972
