step,loss
1,-0.11265425384044647
100,-0.15474849939346313
200,-0.11779965460300446
300,-0.17221322655677795
400,-0.19112259149551392
500,-0.18622910976409912
600,-0.22554472088813782
700,-0.13856399059295654
800,-0.22289642691612244
900,-0.235764741897583
1000,-0.15585176646709442
1100,-0.16732579469680786
1200,-0.06628774106502533
1300,-0.218948096036911
1400,-0.1682908982038498
1500,-0.15161865949630737
1600,-0.13542208075523376
1700,-0.12522123754024506
1800,-0.2932474613189697
1900,-0.27252650260925293
2000,-0.09876089543104172
2100,-0.22774332761764526
2200,-0.2032565027475357
2300,-0.1981176733970642
2400,-0.17915678024291992
2500,-0.24416834115982056
2600,-0.17077678442001343
2700,-0.18435820937156677
2800,-0.17828047275543213
2900,-0.2298266887664795
3000,-0.28222787380218506
3100,-0.12913140654563904
3200,-0.21706271171569824
3300,-0.2491021305322647
3400,-0.17903195321559906
3500,-0.22822079062461853
3600,-0.12440069764852524
3700,-0.25558385252952576
3800,-0.2155478447675705
3900,-0.19874432682991028
4000,-0.16463954746723175
4100,-0.16608072817325592
4200,-0.24634386599063873
4300,-0.22466176748275757
4400,-0.2682555913925171
4500,-0.24839892983436584
4600,-0.20043231546878815
4700,-0.16030682623386383
4800,-0.26539501547813416
4900,-0.1976027488708496
5000,-0.22619777917861938
