step,loss
1,-0.03413591533899307
100,-0.10628750920295715
200,-0.2163390964269638
300,-0.17896874248981476
400,-0.1820516288280487
500,-0.14824235439300537
600,-0.1878567785024643
700,-0.13105955719947815
800,-0.21615305542945862
900,-0.07007893174886703
1000,-0.1067790538072586
1100,-0.21642613410949707
1200,-0.11808284372091293
1300,-0.2609005570411682
1400,-0.1914576292037964
1500,-0.19069969654083252
1600,-0.14117766916751862
1700,-0.09925917536020279
1800,-0.2498372197151184
1900,-0.17736811935901642
2000,-0.25951018929481506
2100,-0.16467341780662537
2200,-0.1491231918334961
2300,-0.24157124757766724
2400,-0.21521899104118347
2500,-0.25741836428642273
2600,-0.2008860558271408
2700,-0.14210529625415802
2800,-0.19521567225456238
2900,-0.14623382687568665
3000,-0.1630198061466217
3100,-0.2070436030626297
3200,-0.10239831358194351
3300,-0.16868841648101807
3400,-0.17100991308689117
3500,-0.17248329520225525
3600,-0.214070662856102
3700,-0.19565364718437195
3800,-0.16305401921272278
3900,-0.21040529012680054
4000,-0.22175441682338715
4100,-0.11273256689310074
4200,-0.14301235973834991
4300,-0.1761045902967453
4400,-0.11870953440666199
4500,-0.24149282276630402
4600,-0.20914342999458313
4700,-0.1584472954273224
4800,-0.20372577011585236
4900,-0.22337093949317932
5000,-0.14360682666301727
