step,loss
1,-0.04567722603678703
100,-0.06921131908893585
200,-0.1647762656211853
300,-0.23136231303215027
400,-0.17025083303451538
500,-0.18659314513206482
600,-0.16313064098358154
700,-0.25390490889549255
800,-0.15178465843200684
900,-0.21796146035194397
1000,-0.2668722867965698
1100,-0.20320382714271545
1200,-0.1330224871635437
1300,-0.17782588303089142
1400,-0.16423116624355316
1500,-0.16455459594726562
1600,-0.13713401556015015
1700,-0.1925903558731079
1800,-0.17788998782634735
1900,-0.1170264333486557
2000,-0.19039249420166016
2100,-0.11859168857336044
2200,-0.14214417338371277
2300,-0.1626596450805664
2400,-0.28276461362838745
2500,-0.29320448637008667
2600,-0.09852119535207748
2700,-0.2016642540693283
2800,-0.1399386078119278
2900,-0.16888652741909027
3000,-0.25192102789878845
