step,loss
1,-0.04567723721265793
100,-0.053421750664711
200,-0.12983432412147522
300,-0.18401676416397095
400,-0.1303900182247162
500,-0.14502611756324768
600,-0.12300564348697662
700,-0.202172189950943
800,-0.11438585817813873
900,-0.17025458812713623
1000,-0.21230778098106384
1100,-0.15666717290878296
1200,-0.09906655550003052
1300,-0.13507242500782013
1400,-0.12430792301893234
1500,-0.12446710467338562
1600,-0.10067475587129593
1700,-0.14864292740821838
1800,-0.13602975010871887
1900,-0.08391490578651428
2000,-0.14722007513046265
2100,-0.08419596403837204
2200,-0.10550065338611603
2300,-0.12230991572141647
2400,-0.22136951982975006
2500,-0.23205801844596863
2600,-0.06833744049072266
2700,-0.1555825173854828
2800,-0.10282661020755768
2900,-0.1277301162481308
3000,-0.1962883323431015
