step,loss
1,-0.04567722603678703
100,-0.04899440333247185
200,-0.12287607789039612
300,-0.18291187286376953
400,-0.1296696811914444
500,-0.14504031836986542
600,-0.12285672128200531
700,-0.20202282071113586
800,-0.11412201821804047
900,-0.16990384459495544
1000,-0.2118387073278427
1100,-0.1563902497291565
1200,-0.09927284717559814
1300,-0.13445651531219482
1400,-0.12465766072273254
1500,-0.12450191378593445
1600,-0.10065948218107224
1700,-0.1485975682735443
1800,-0.13604027032852173
1900,-0.08387215435504913
2000,-0.14780208468437195
2100,-0.08429820090532303
2200,-0.1056835725903511
2300,-0.122383713722229
2400,-0.2212826907634735
2500,-0.2313777357339859
2600,-0.06872612237930298
2700,-0.15621180832386017
2800,-0.10307133197784424
2900,-0.1279803067445755
3000,-0.19661331176757812
