pde_type,method,L2_mean,L2_std,Linf_mean,Linf_std,time_mean,time_std,n
burgers_hires,Standard_PINN,0.01420116111378851,0.0057996705762702345,0.14437897449464554,0.07381705670837131,944.5094548666,246.69325925795027,10
burgers_hires,RAR_D,0.31960029033391957,0.1411252770984487,1.6231910488824635,0.43554963403419433,942.200021121,249.93922074770998,10
burgers_hires,PACMANN,0.06619703868948738,0.0751740461925425,0.6597028707133116,0.5490661468371894,1000.1666871666,268.3282742942126,10
burgers_hires,CARS,0.30315949457366353,0.11478329313048452,1.250027751655196,0.28797702549681853,911.7846596834,229.0646075197335,10
convection,Standard_PINN,0.03316382994658633,0.004082414792910428,0.06535071435165359,0.009744883479450532,482.5434796332996,109.16003410628824,10
convection,RAR_D,0.07007645404243923,0.10283969079411677,0.12371939450697225,0.1611728512964814,494.33291230839967,112.88140981452796,10
convection,PACMANN,0.721191833403824,0.051911011883192186,1.1194494351914912,0.0760806669051781,563.062328304,137.03158138866598,10
convection,CARS,0.5462065592120164,0.27273811386987684,0.9301406274608702,0.46051788317213516,590.7581368501997,155.87130701168218,10
allen_cahn,Standard_PINN,0.6001238852691302,0.13571351483301117,1.6889173683191667,0.133116831002246,1028.6830887168,312.6055899542761,10
allen_cahn,RAR_D,0.9734085142325896,0.016939189260464643,1.0234068719944347,0.022557815731861768,1101.5458813625003,348.27507614005145,10
allen_cahn,PACMANN,0.875730949371504,0.1664147733901887,1.488267626526722,0.48436058121180037,1166.2256586,370.6314443251678,10
allen_cahn,CARS,0.7342891468294934,0.2261955786568028,1.441717725683915,0.3540342056992587,1135.0586249042003,357.0909171944275,10
